title,studio,domestic_gross,foreign_gross,year,total_gross,title_clean,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Toy Story 3,BV,415000000.0,652000000.0,2010,1067000000.0,toy story 3,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",tt0435761,8.3,682218.0
Inception,WB,292600000.0,535700000.0,2010,828300000.0,inception,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",tt1375666,8.8,1841066.0
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,752600000.0,shrek forever after,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",tt0892791,6.3,167532.0
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,698500000.0,the twilight saga: eclipse,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",tt1325004,5.0,211733.0
Iron Man 2,Par.,312400000.0,311500000.0,2010,623900000.0,iron man 2,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",tt1228705,7.0,657690.0
Tangled,BV,200800000.0,391000000.0,2010,591800000.0,tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",tt0398286,7.8,366366.0
Despicable Me,Uni.,251500000.0,291600000.0,2010,543100000.0,despicable me,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",tt1323594,7.7,464511.0
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,494900000.0,how to train your dragon,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",tt0892769,8.1,611299.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,415700000.0,the chronicles of narnia: the voyage of the dawn treader,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",tt0980970,6.3,129663.0
The King's Speech,Wein.,135500000.0,275400000.0,2010,410900000.0,the king's speech,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",tt1504320,8.0,593629.0
The Karate Kid,Sony,176600000.0,182500000.0,2010,359100000.0,the karate kid,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",tt1155076,6.2,146401.0
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,336400000.0,prince of persia: the sands of time,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",tt0473075,6.6,254975.0
Black Swan,FoxS,107000000.0,222400000.0,2010,329400000.0,black swan,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",tt0947798,8.0,648854.0
Megamind,P/DW,148400000.0,173500000.0,2010,321900000.0,megamind,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",tt1001526,7.3,207488.0
Robin Hood,Uni.,105300000.0,216400000.0,2010,321700000.0,robin hood,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",tt0955308,6.6,239480.0
The Last Airbender,Par.,131800000.0,187900000.0,2010,319700000.0,the last airbender,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",tt0938283,4.1,137734.0
Little Fockers,Uni.,148400000.0,162200000.0,2010,310600000.0,little fockers,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",tt0970866,5.5,99222.0
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,300200000.0,resident evil: afterlife,tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",tt1220634,5.9,153270.0
Shutter Island,Par.,128000000.0,166800000.0,2010,294800000.0,shutter island,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",tt1130884,8.1,1005960.0
Salt,Sony,118300000.0,175200000.0,2010,293500000.0,salt,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",tt0944835,6.4,277204.0
